Topic,Count,Name,Representation,Representative_Docs
-1,2959,-1_votez nicușor dan_votați nicușor dan_votat nicușor_votat simion,"['votez nicușor dan', 'votați nicușor dan', 'votat nicușor', 'votat simion', 'votez nicușor', 'vota simion', 'votez nicusor dan', 'votat tur', 'votați nicușor', 'îl votez']","['3 voturi din Italia pentru Nicusor Dan', 'Drumul Românilor e Vestul , EUROPA UNITĂ UE ! NICUȘOR DAN. !', 'Ultima noastră șansă ,, NICUȘOR DAN ,, trezirea !!! ,,']"
0,1208,0_domnul nicusor dan_dan nicușor_votam nicușor dan_votez nicușor dan,"['domnul nicusor dan', 'dan nicușor', 'votam nicușor dan', 'votez nicușor dan', 'nicușor dan președinte', 'nicușor dan', 'votăm nicușor dan', 'dan va', 'n dan', 'domnul nicușor']","['Adică Nicușor Dan ar fi mai bun? Haida de,să nu exageram!', 'Integritatea și Hărnicie lui Nicușor Dan spun totul !', 'Nicușor Dan este imperfectul perfect! Mulțumim, Recorder!']"
1,803,1_simion presedintele_simion presedinte_calin georgescu presedinte_george simion presedintele,"['simion presedintele', 'simion presedinte', 'calin georgescu presedinte', 'george simion presedintele', 'calin georgescu', 'georgescu presedinte', 'nicușor dan presedinte', 'dumnezeu va', 'presedinte om', 'isus hristos']","['Nicusor Dan Presedinte', '"" Daca noi castigam, castiga si ei, daca ei castiga, pierdem toti"". Cu cine votam? 1. Un om care : - a redat functionalitatea Bucurestiului lasat in paragina de vechii primari - a promis putine si are nu doar ca fapte marete, dar cine a mai avut tupeul sa rezolve problema termoficarii, evitata de toti de 10-15 ani. - un om care ne-a investit banii in functionalitate si nu in superficialitate cum au facut-o vechii primari. - un om care se lupta cu sistemul de mai bine de 10 ani. - un om care vine cu solutii reale pentru probleme si nu ne prezinta doar "" ce vrem sa auzim "". - un om care a crescut turismul in capitala. - un om care a imbunatatit mijlocul de transport in comun. - un om care a crescut calitatea vietii per total in capitala. - ca si imagine, pare un om decent, parca prea frumos sa fie adevarat, dar da. 2. Un om care : - promite marea cu sarea, indiferent daca sunt realizabile sau nu, pe modelul CG si PSD. - o persoana non-grata in 2 tari vecine, daca vreodata trebuie sa mearga sa ne reprezinte tara, nu va putea intra :))) - suspect de interferente ruse, intalniri cu spioni rusi, documente secretizate de SRI in privinta asta. - un om care cel mai probabil si-a inscenat un atac cibernetic in data de 6 noiembrie pe forma unui defacement-ransomware iar atacatorul era intitulat ""Rusia"", cel mai probabil a fost un false-flag si o metoda buna de marketing cu mesajul ""Rusia ne ataca, cum sa fim cu ei? "" - un om cu comportament de bully si golan, nici nu are sens sa reamintim "" Te agresez sexual "". - un om care ne vinde vise frumoase, exact cum o face si PSD de 35 de ani. - un om care nu a demonstrat niciodata ca este anti-sistem, doar a creat iluzii. - un om care se foloseste de vulnerabilitatea umana pentru promovare. - ca si imagine, pare un golan, fara prea multa logica, acuzatii false, legate strans de dezinformare, lipsa de fact-checking. M-am saturat de mizeriile din clasa politica, inclusiv AUR. Prefer un om care mi-a demonstrat ceva, nu unul care promite marea cu sarea, pe modelul PSD Georgescu. Votul meu merge catre Nicusor Dan.', 'Uneori ai nevoie de un monstru ca sa unesti oamenii. Mersi Calin Georgescu :)']"
2,603,2_simion președintele româniei_george simion președintele româniei_președinte al româniei_președintele româniei,"['simion președintele româniei', 'george simion președintele româniei', 'președinte al româniei', 'președintele româniei', 'al româniei', 'românia trebuie', 'romania va', 'românia nevoie', 'poporul român', 'ajuta romania']","['Simion președintele României', 'Simion președintele României', 'George Simion președintele României']"
3,357,3_recorder chiar_recorder ați_cei recorder_echipa recorder,"['recorder chiar', 'recorder ați', 'cei recorder', 'echipa recorder', 'recorder va', 'astia recorder', 'multumesc recorder', 'mulțumesc recorder', 'recorder ati', 'câte vede']","['Se vede de la 10 miliarde de km a cui portavoce Recorder e. #Biased', 'Recorder e cu USR ce așteptări aveți de la ei', 'Si recorder e corupta ,mars ma']"
4,47,4_iar psd_conducerea psd_guvernare psd_psd psd,"['iar psd', 'conducerea psd', 'guvernare psd', 'psd psd', 'psd pnl udmr', 'guvernare psd pnl', 'psd pnl usr udmr', 'pnl psd udmr', 'psd va', 'psd pnl']","['Să te lupți să nu ajungă PSD în turul 2 și după alegeri să continui cu PSD PNL UDMR asta înseamnă un popor de idioti', 'Jos Isărescu jos PSD PNL UDMR', 'Necunoscuta nu e neaparat PSD ci Ponta care controleaza o parte din PSDul imprastiat in tara, care il poate favoriza pe Simion pana in zilele premergatoare turului 2..daca asa ceva se va intampla, soarta tarii va fi pecetluita. PSD in sine ar fi o necunoscuta doar in cazul in care Nicusor ar castiga deoarece clar coalitia ar pica iar PSD ar lua cu el majoritatea, cel mai probabil Bolojan va fi Prim minsitru iar PNL va fuziona cu USR si partidele liberale mici dar si PSD ar putea forma o coalitie cu AUR si partidele extremiste.']"
5,43,5_videoul asta_ajunga cat multa_ajunga informatii_ajunga cat,"['videoul asta', 'ajunga cat multa', 'ajunga informatii', 'ajunga cat', 'ajunga cat multa lume', 'cat multa lume', 'toata lumea', 'sper ajunga cat multa', 'multa lume', 'sper ajunga cat']","['Comentariu pentru algoritm , sa ajunga la cat mai multa lume.', 'comentariu pt algoritm, sa ajunga la cat mai multa lume videoul. Depinde de fiecare dintre noi sa facem tot ce putem sa ajunga Nicusor presedinte, pwp', 'comentariu pt algoritm, sa ajunga la cat mai multa lume videoul. Depinde de fiecare dintre noi sa facem tot ce putem sa ajunga Nicusor presedinte, pwp']"
6,30,6_comunitatea lgbt_votez george simion_votez george_votanților simion,"['comunitatea lgbt', 'votez george simion', 'votez george', 'votanților simion', 'merg votez', 'lumea votează nicușor', 'îl susține simion', 'ies vot', 'propaganda asta', 'george simion']","['Problema nu cred ca e daca e gay sau nu. Problema e ca daca chiar e in acelasi timp el este impotriva si asta e o problema, sa fii, dar sa nu fii in acelasi timp. Ca aia din germania care militeaza impotriva minoritatilor, impotriva gay, impotriva emigrantilor si ea e o lesbianca maritata cu o emigranta si amandoua traiesc in Elvetia, deci x2 imigranti. Wtf is happening in this world bro?', 'nu mai gasesc minutu la care ai zis ca e o tampenie sa promovezi faptu ca Simion e homosexual si are un bunic rrom, si da poate prin postari pe social media n-are absolut nici un sens, dar in vorba 1 la 1 cu un om care spune ca ar vrea sa arda homosexualii, poate fi o dezinformare intoarsa in sens bun sa ii arati ce zic Sosoaca si Becali. Pana la urma restu mai inclina stanga dreapta dar daca intorci un fascist sa voteze antifascist e un ajutor clar pentru cauza. Si nu e ca si cum fascistii nu au deja echo chamberu lor si ii impingi tu mai in dreapta zicand ca Simion e homosexual, si vai de mine peste 4 ani daca apare cineva homosexual o sa aiba de suferit. Nu, asta se intampla doar daca incerci sa convingi omu ""sa faca ce vor dar sa nu ii vad cum se tin de mana pe strada"" ca Simion ar fi rau ptc e homosexual, mai ales postand facand misto de Simion pe tema asta. Lasand strategia antifascista la o parte, e posibil sa fie, ca am auzit din 4 surse deja ca ar fi + faptu ca in unele declaratii spune ca e perfect normal desi n-ar avea nici un interes electoral.', 'Sa vada si sustinatorii lui Simion care spun ca Simion sustine familia traditionala si Nicusor Dan sustine comunitatea LGBT la minutul 10:39 se precizeaza clar ce sutine Nicusor Dan = valori traditionale si nu comportamentul homosexual. Deci , multi dintre sustinatorilor lui Simion sunt slab informatii. Sunt multe astfel de lucruri neadevarate spuse de oameni slabi informati iar restul preiau toate informatiile ca fiind adevarate - manipulare , dezinformare si influentare emotionala asta fac oamenii cu caracter infect ca al lui simion si tipa aia de la POT o sociopata si Simion la fel sociopat cronic. Dar asta este lumea in care traim - iubim scandaluri smecheri si sociopati . E trist ... DA.. de peste 30 de ani suntem condusi de hoti , oameni care isi vad propriile interese ... oameni care au vandud tara strainilor pt propriile buzunare ... dar Europa chiar a ajutat Romania in ultimii ani cu bani pe care daca nu i-am fi avut ar fii fost mult mai rau ... asa cum o sa fie daca va fi Simion presedinte .. asocierea cu extremism si Rusia este si daca va fi -va fi o greseala imensa ... o schimbare radicala ne arunca inapoi cu 30 ani ... Din pacate schimbari majore in bine nu pot sa apara peste noapte ... ori avem rabdare ... ori ne ducem cu totii ca bolovanii la fund. Salari pensii si bani in plus , trai decent cu o guvernare a lui Simion si ai lui ""haiduci"" nu are cum sa fie ca nu are sprijin economic asta nu inteleg multi .... Dar asta este ...Ii spui unui copil : nu iesi afara dezbracat ca racesti dar el iesind afara dezbracat spune : ma doare-n p..ă sti tu ca racesc eu ... ziua urmatoare e in pat si geme.... numai fiti copii uni dintre voi .']"
